date,main,relate,other
2017/1/1,,,
2017/2/1,,,
2017/3/1,,,
2017/4/1,,,
2017/5/1,,,
2017/6/1,オリンピックまで３年,,
2017/7/1,,,
2017/8/1,,,
2017/9/1,,,2024年五輪開催地決定
2017/10/1,,,
2017/11/1,,,
2017/12/1,,,
2018/1/1,ラグビーW杯チケット販売開始,,
2018/2/1,ピョンチャン五輪,,
2018/3/1,,,
2018/4/1,,,
2018/5/1,,,
2018/6/1,,サッカーW杯（ロシア）,
2018/7/1,オリンピックまで２年,,東京都ボランティア募集開始
2018/8/1,,アジア大会（インドネシア）,
2018/9/1,ラグビーW杯まで１年,,
2018/10/1,,,
2018/11/1,,,
2018/12/1,,,
2019/1/1,,,
2019/2/1,,,
2019/3/1,,,
2019/4/1,,,
2019/5/1,,,
2019/6/1,,サッカー女子W杯（フランス）,
2019/7/1,オリンピックまで１年,,
2019/8/1,,,
2019/9/1,ラグビーW杯開幕、東京オリンピックのプレ大会,,
2019/10/1,,,
2019/11/1,新国立競技場完成,,
2019/12/1,オリンピック・アクアティックスセンター完成、有明アリーナ完成,,
2020/1/1,五輪チケット販売開始,,
2020/2/1,,,
2020/3/1,,,
2020/4/1,,,
2020/5/1,,,
2020/6/1,,,
2020/7/1,オリンピック開催,,
2020/8/1,パラリンピック開幕,,
2020/9/1,,,
2020/10/1,,,
2020/11/1,,,
2020/12/1,,,
2021/1/1,,,
2021/2/1,,,
2021/3/1,,,
2021/4/1,,,
2021/5/1,,,
2021/6/1,,,
